series_id,family,subgroup,n_points,n_positive,rel_vus_pr,full_vus_pr,delta_vus_pr,eligible,positive_pool,nonpositive_pool,positive_median_target,positive_distance,nonpositive_median_target,nonpositive_distance,delta_rank_ascending,delta_rank_descending,positive_selection_rank,nonpositive_selection_rank
YAHOOA2__synthetic_100,Yahoo,Yahoo-A2,1421,4,0.8249482981035119,0.8855363607021133,0.06058806259860139,True,True,False,0.029174905161014897,0.03141315743758649,-0.0154133437016728,,388,101,228.0,
YAHOOA2__synthetic_11,Yahoo,Yahoo-A2,1421,9,0.8244985219600286,0.8859202378499846,0.06142171588995604,True,True,False,0.029174905161014897,0.032246810728941144,-0.0154133437016728,,393,96,233.0,
YAHOOA2__synthetic_12,Yahoo,Yahoo-A2,1421,1,0.5643679342036669,0.4007562863824648,-0.16361164782120213,True,False,True,0.029174905161014897,,-0.0154133437016728,0.14819830411952933,8,481,,153.0
YAHOOA2__synthetic_13,Yahoo,Yahoo-A2,1421,4,0.6948128207293679,0.8300308854487549,0.13521806471938702,True,True,False,0.029174905161014897,0.10604315955837212,-0.0154133437016728,,451,38,291.0,
YAHOOA2__synthetic_14,Yahoo,Yahoo-A2,1421,9,0.7216968815052183,0.9285477691919626,0.2068508876867443,True,True,False,0.029174905161014897,0.17767598252572941,-0.0154133437016728,,472,17,312.0,
YAHOOA2__synthetic_15,Yahoo,Yahoo-A2,1421,1,0.3572805917994444,0.4050301393524724,0.047749547553028016,True,True,False,0.029174905161014897,0.01857464239201312,-0.0154133437016728,,369,120,108.0,
YAHOOA2__synthetic_16,Yahoo,Yahoo-A2,1421,4,0.6948833480637732,0.8335472302248431,0.13866388216106995,True,True,False,0.029174905161014897,0.10948897700005505,-0.0154133437016728,,453,36,293.0,
YAHOOA2__synthetic_17,Yahoo,Yahoo-A2,1421,9,0.7735254765562555,0.808853383926293,0.03532790737003755,True,True,False,0.029174905161014897,0.006153002209022651,-0.0154133437016728,,338,151,34.0,
YAHOOA2__synthetic_18,Yahoo,Yahoo-A2,1421,1,0.6807287082866847,0.665633950176948,-0.015094758109736706,True,False,True,0.029174905161014897,,-0.0154133437016728,0.0003185855919360936,82,407,,3.0
YAHOOA2__synthetic_19,Yahoo,Yahoo-A2,1421,4,0.8457210121493979,0.8229260181509896,-0.02279499399840823,True,False,True,0.029174905161014897,,-0.0154133437016728,0.007381650296735431,74,415,,32.0
